Id,GrLivArea,Street,OverallQual,GarageCars,GarageArea,LandSlope,TotRmsAbvGrd,Utilities,FullBath,X1stFlrSF,TotalBsmtSF,age,YearBuilt,YearRemodAdd,Fireplaces,GarageYrBlt,MasVnrArea,LotArea,X2ndFlrSF,BedroomAbvGr,BsmtFinSF1,HalfBath,SalePrice
1000,1828,Pave,5,2,480,Gtl,6,AllPub,2,942,859,84,1923,1999,0,1979,0,9060,886,3,548,0,176889.1715
1001,816,Pave,5,1,100,Gtl,5,AllPub,1,816,816,85,1922,1950,0,1922,0,3672,0,2,0,0,159638.8562
1002,845,Pave,2,1,256,Gtl,4,AllPub,1,640,0,68,1939,1950,0,1950,0,11067,0,1,0,0,154287.2644
1003,1991,Pave,5,0,0,Gtl,9,AllPub,2,1034,957,112,1895,2006,0,1979,0,8250,957,4,0,0,191885.6182
1004,1073,Pave,4,2,720,Gtl,6,AllPub,1,1073,1073,50,1957,1980,0,1985,0,6565,0,3,967,0,177503.3786
1005,1001,Pave,5,1,216,Gtl,5,AllPub,1,1001,837,77,1930,2007,0,1930,0,6060,0,2,737,0,166548.3168
1006,1625,Pave,8,2,495,Mod,5,AllPub,2,1625,1573,1,2006,2007,1,2006,473,5568,0,2,1573,0,164475.1494
1007,1299,Pave,6,2,486,Gtl,5,AllPub,2,1299,1001,28,1979,1979,1,1979,0,12150,0,2,1001,0,167484.7449
1008,1392,Pave,5,3,650,Gtl,6,AllPub,2,1392,1441,5,2002,2002,1,2002,166,10000,0,3,585,0,188683.1606
1009,1409,Pave,7,2,576,Gtl,,AllPub,1,1409,1409,5,2002,2002,1,2002,0,12864,0,1,1392,1,162243.3995
1010,1478,Pave,7,2,506,Gtl,,AllPub,2,1478,1454,16,1991,1992,1,1991,0,9928,0,3,1239,0,180807.2139
1011,918,Pave,7,1,360,Gtl,,AllPub,1,918,852,32,1975,1975,0,1975,50,8750,0,3,224,0,176279.0796
1012,1026,Pave,6,2,528,Gtl,,AllPub,1,1026,970,33,1974,1974,1,1974,0,8410,0,2,924,0,163438.9591
1013,1501,Pave,7,2,512,Gtl,5,AllPub,2,1501,1501,20,1987,1987,2,1987,352,4054,0,2,949,0,161495.5394
1014,2279,Pave,6,2,461,Gtl,7,AllPub,2,2279,585,49,1958,1995,1,1958,1224,19958,0,4,0,1,216032.3037
1015,1689,Pave,7,2,433,Gtl,7,AllPub,2,1689,1689,1,2006,2007,0,2007,0,8368,0,3,0,0,176632.1815
1016,1564,Pave,8,2,502,Gtl,6,AllPub,2,1564,1546,1,2006,2007,1,2207,0,8298,0,2,583,0,168743.0016
1017,1240,Pave,7,2,528,Gtl,6,AllPub,2,1240,1265,22,1985,1985,0,1985,0,10331,0,3,215,0,183810.1185
1018,1312,Pave,8,2,471,Gtl,5,AllPub,2,1312,1267,6,2001,2001,0,2001,86,6718,0,2,250,0,156794.3605
1019,1922,Pave,8,3,692,Gtl,6,AllPub,2,1922,1922,5,2002,2002,1,2002,886,11305,0,2,1329,0,169136.4301
1020,1491,Pave,6,2,571,Gtl,7,AllPub,2,1491,1491,11,1996,1996,1,1996,203,7777,0,3,0,0,183203.3188
1021,2486,Pave,7,2,452,Gtl,10,AllPub,3,1146,,4,2003,2004,1,2003,94,11800,1340,5,766,1,213252.9269
1022,1824,Pave,10,3,932,Gtl,8,AllPub,2,1824,1824,1,2006,2007,1,2006,242,12633,0,3,0,0,190550.3279
1023,2034,Pave,3,4,1041,Gtl,9,AllPub,1,,0,54,1953,1953,0,1953,0,43500,0,2,0,0,234707.2099
1024,936,Pave,6,2,460,Gtl,3,AllPub,0,,920,11,1996,1997,0,1996,134,6710,0,0,16,1,135751.3189
1025,1092,Pave,4,1,253,Gtl,5,AllPub,1,546,546,35,1972,1972,0,1972,0,1504,546,3,252,1,164228.4589
1026,992,Pave,4,1,297,Gtl,4,AllPub,1,530,530,37,1970,1970,0,1970,0,1533,462,2,503,0,153219.437
1027,1092,Pave,4,0,0,Gtl,5,AllPub,1,546,546,37,1970,1970,0,1979,189,1495,546,3,384,1,164210.7465
1028,1092,Pave,4,1,286,Gtl,6,AllPub,1,546,546,31,1976,1976,0,1976,0,1890,546,3,0,1,163883.2291
1029,1008,Pave,5,2,678,Gtl,4,AllPub,1,1008,923,30,1977,1977,1,1977,144,9129,0,1,923,0,154892.7763
1030,1356,Pave,6,2,528,Mod,6,AllPub,2,1356,1244,30,1977,1977,1,1977,0,15957,0,3,1148,0,197092.0873
1031,1676,Pave,5,2,672,Gtl,6,AllPub,1,1676,1160,30,1977,1994,2,1977,0,33983,0,3,1112,1,228148.3764
1032,1432,Pave,5,2,531,Gtl,6,AllPub,1,716,716,30,1977,1977,1,1977,0,8286,716,3,531,1,178680.5875
1033,796,Pave,5,0,0,Gtl,5,AllPub,1,796,796,36,1971,1971,0,1979,0,,0,2,796,0,165643.3412
1034,1608,Pave,4,1,444,Gtl,6,AllPub,1,1608,1396,46,1961,1961,0,1961,198,27697,0,3,811,0,222406.6427
1035,1178,Pave,5,2,502,Gtl,6,AllPub,1,1178,1090,31,1976,2003,0,1976,0,11000,0,3,1090,1,184021.8436
1036,816,Pave,5,1,264,Gtl,4,AllPub,1,816,816,24,1983,1983,0,1983,0,11625,0,2,596,0,170871.0949
1037,887,Pave,5,1,288,Gtl,5,AllPub,1,887,864,23,1984,1984,0,1984,0,10447,0,3,516,0,189562.8737
1038,1293,Pave,6,2,452,Gtl,5,AllPub,2,1293,1178,52,1954,1954,0,1954,28,11027,0,2,468,0,170591.885
1039,1024,Pave,6,1,313,Gtl,5,AllPub,1,1024,1008,50,1956,1956,2,1956,244,10533,0,2,773,0,172934.3517
1040,1797,Pave,5,3,963,Gtl,7,AllPub,1,1797,1617,49,1957,1957,1,1957,302,11765,0,3,1127,1,186425.0699
1041,1390,Pave,6,2,550,Sev,4,AllPub,1,1390,1705,49,1957,1957,2,1957,902,39384,0,1,1110,1,218648.1311
1042,1851,Pave,7,2,506,Gtl,8,AllPub,2,1851,1851,37,1969,1969,1,1969,434,11727,0,3,0,0,183035.6068
1043,1525,Pave,6,2,400,Gtl,6,AllPub,2,813,813,9,1997,1998,1,1997,0,8238,712,3,700,1,178378.9061
1044,1671,Pave,6,2,423,Gtl,7,AllPub,2,781,781,11,1995,1995,1,1995,0,13041,890,3,0,1,184516.7166
1045,1776,Pave,6,2,443,Gtl,7,AllPub,2,821,821,10,1996,1996,1,1996,0,9783,955,3,0,1,181419.5253
1046,2064,Pave,8,2,527,Gtl,7,AllPub,2,1074,1074,1,2005,2005,1,2005,216,13128,990,4,0,1,196858.9234
1047,2212,Pave,7,3,773,Gtl,9,AllPub,2,1700,1700,1,2005,2006,1,2006,248,13751,512,3,60,1,189228.7015
1048,2687,Pave,8,2,618,Gtl,9,AllPub,2,2079,2062,12,1994,1994,0,1994,0,13108,608,4,0,1,208973.3808
1049,1169,Pave,6,2,402,Gtl,6,AllPub,2,1169,1160,13,1993,1994,1,1993,112,8076,0,3,705,0,180269.869
1050,1204,Pave,8,2,461,Gtl,5,AllPub,2,1204,1191,19,1987,1987,0,1987,0,3701,0,2,0,0,159488.7137
1051,2798,Pave,9,3,670,Gtl,11,AllPub,3,,1398,1,2005,2006,1,2005,600,16023,1384,3,1218,1,191490.2995
1052,3390,Pave,10,3,758,Gtl,10,AllPub,3,,1528,0,2006,2006,1,2006,662,18062,1862,5,0,1,228684.2451
1053,2473,Pave,9,3,675,Gtl,11,AllPub,2,1102,1094,0,2006,2006,1,2006,184,12292,1371,4,205,1,201842.9987
1054,2698,Pave,10,3,736,Gtl,11,AllPub,2,1850,1850,0,2006,2006,1,2006,734,16052,848,4,1206,1,209242.8229
1055,2795,Pave,9,3,660,Gtl,10,AllPub,3,1390,1390,1,2005,2006,1,2005,550,15922,1405,4,0,1,202357.6226
1056,1714,Pave,9,2,517,Gtl,7,AllPub,2,1714,1714,1,2005,2005,1,2005,230,8147,0,2,1191,0,168238.6122
1057,2000,Pave,9,3,722,Gtl,8,AllPub,2,2000,1910,1,2005,2005,2,2005,420,18261,0,3,1416,1,202524.1247
1058,1102,Pave,6,2,582,Gtl,5,AllPub,1,1102,988,26,1980,1980,1,1980,130,10464,0,2,850,0,170588.7719
1059,1857,Pave,7,2,482,Gtl,8,AllPub,2,945,945,28,1978,1978,1,1978,68,10530,912,4,0,1,198375.3151
1060,1083,Pave,7,2,596,Gtl,5,AllPub,1,1083,1047,30,1976,1976,1,1976,252,9927,0,2,1005,0,170636.8279
1061,2318,Pave,7,2,541,Gtl,8,AllPub,2,960,960,1,2005,2006,1,2005,0,9512,1358,3,788,1,181991.0795
1062,1875,Pave,6,2,485,Gtl,8,AllPub,3,1109,675,31,1975,2000,1,1975,248,10530,766,3,548,0,183994.5425
1063,1103,Pave,6,2,462,Gtl,6,AllPub,2,1103,1103,32,1974,1974,0,1974,176,10000,0,3,755,0,182951.4822
1064,874,Pave,4,2,576,Gtl,5,AllPub,1,874,864,35,1971,1971,0,1995,0,7200,0,3,20,0,174126.2972
1065,1419,Pave,6,2,543,Gtl,4,AllPub,2,1419,1487,4,2002,2002,0,2002,0,8773,0,2,951,0,170575.4967
1066,1092,Pave,6,2,440,Gtl,6,AllPub,1,525,525,33,1973,1973,0,1973,514,2760,567,3,0,1,175332.2399
1067,1365,Pave,5,2,440,Gtl,7,AllPub,1,765,765,33,1973,1973,1,1973,200,2160,600,3,402,1,167522.0615
1068,1030,Pave,6,1,264,Gtl,6,AllPub,1,494,494,34,1972,1972,0,1973,380,1890,536,3,282,1,168095.5837
1069,948,Pave,6,1,264,Gtl,5,AllPub,1,483,483,34,1972,1972,0,1972,504,1680,465,2,276,1,154406.4156
1070,1092,Pave,6,1,264,Gtl,6,AllPub,1,525,525,34,1972,1972,0,1972,504,1680,567,3,382,1,170996.9733
1071,1069,Pave,6,2,440,Gtl,4,AllPub,2,1069,1069,31,1975,1975,1,1975,0,4043,0,2,727,0,159056.8902
1072,1387,Pave,5,1,300,Gtl,6,AllPub,1,1387,943,39,1967,1975,1,1974,0,7514,0,3,373,0,181373.6165
1073,1055,Pave,7,1,319,Gtl,4,AllPub,2,1055,1055,30,1976,1976,0,1976,0,2280,0,2,120,0,152272.561
1074,1456,Pave,6,2,460,Gtl,6,AllPub,2,855,855,30,1976,1976,1,1976,0,2179,601,3,70,1,168664.3468
1075,2589,Pave,9,3,831,Gtl,11,AllPub,2,1738,1738,0,2006,2006,1,2006,215,16387,851,4,1369,1,211007.0083
1076,1618,Pave,8,3,880,Gtl,6,AllPub,2,,1618,2,2004,2004,1,2004,232,16163,0,2,0,0,182909.515
1077,1740,Pave,7,3,874,Gtl,8,AllPub,2,,1721,0,2006,2006,0,2006,206,12228,0,4,0,0,203926.8294
1078,1868,Pave,9,3,1085,Mod,7,AllPub,2,1868,1868,1,2005,2005,1,2005,568,14780,0,2,1505,0,179082.8254
1079,2206,Pave,9,3,670,Gtl,10,AllPub,2,1117,1090,1,2005,2006,1,2005,525,13975,1089,4,0,1,206260.0998
1080,2091,Pave,9,2,521,Gtl,8,AllPub,2,1625,1606,1,2005,2006,1,2005,385,9942,466,3,1290,1,181732.4434
1081,2253,Pave,8,2,575,Gtl,8,AllPub,2,1209,1209,1,2005,2006,1,2005,0,12867,1044,3,0,1,189698.7407
1082,2389,Pave,8,3,672,Gtl,10,AllPub,2,1054,1054,0,2006,2006,1,2006,0,10672,1335,4,0,1,203074.3468
1083,2358,Pave,8,3,784,Gtl,10,AllPub,2,1544,1524,1,2005,2006,1,2005,142,11643,814,4,880,1,201670.6344
1084,1792,Pave,9,3,925,Gtl,6,AllPub,2,1792,1792,1,2005,2006,1,2005,430,13758,0,2,1232,0,173756.8126
1085,1780,Pave,9,3,816,Gtl,7,AllPub,2,1780,1780,2,2004,2005,1,2004,674,14828,0,2,1383,0,181387.0764
1086,1914,Pave,8,3,746,Gtl,9,AllPub,2,1426,1420,2,2004,2004,1,2004,112,13215,488,3,994,1,184859.1553
1087,1565,Pave,9,2,556,Gtl,6,AllPub,2,1565,1560,1,2005,2005,1,2005,278,5911,0,2,472,0,158313.6157
1088,1686,Pave,9,3,899,Gtl,6,AllPub,2,1686,1686,0,2006,2006,1,2006,518,7740,0,1,1023,0,151951.9554
1089,1666,Pave,9,2,575,Gtl,6,AllPub,2,1666,1666,0,2006,2006,1,2006,572,6373,0,2,415,0,162537.527
1090,1456,Pave,6,2,390,Gtl,8,AllPub,2,728,728,1,2005,2006,1,2005,0,10237,728,3,0,1,178998.3371
1091,1492,Pave,7,2,440,Gtl,8,AllPub,2,738,738,0,2006,2006,0,2006,0,10237,754,3,0,1,186732.5849
1092,1326,Pave,6,2,427,Gtl,6,AllPub,2,1326,1326,0,2006,2006,0,2006,0,11660,0,3,0,0,187323.3184
1093,2373,Pave,8,3,632,Gtl,9,AllPub,2,1052,1052,2,2004,2005,1,2004,236,11631,1321,4,0,1,199437.2328
1094,1492,Pave,7,2,440,Gtl,8,AllPub,2,738,738,0,2006,2006,0,2006,0,9073,754,3,0,1,185546.6809
1095,1364,Pave,7,2,437,Gtl,6,AllPub,2,1364,1220,0,2006,2006,1,2006,14,3087,0,2,453,0,161595.0158
1096,1511,Pave,7,2,398,Gtl,5,AllPub,2,1511,1368,4,2002,2002,1,2002,40,2938,0,2,1038,0,154672.4228
1097,1548,Pave,7,2,388,Gtl,7,AllPub,2,1548,1365,2,2004,2004,1,2004,18,3072,0,2,1059,0,159355.7101
1098,1142,Pave,7,2,440,Gtl,6,AllPub,2,1142,1142,1,2005,2006,0,2005,14,3010,0,2,16,0,155919.0141
1099,1598,Pave,7,2,433,Gtl,7,AllPub,2,848,848,2,2004,2005,1,2004,0,9171,750,3,0,1,182424.871
1100,1889,Pave,6,2,431,Gtl,9,AllPub,2,1008,982,6,2000,2000,1,2000,0,8658,881,3,732,1,178100.5896
1101,2322,Pave,7,3,617,Gtl,8,AllPub,3,1082,1035,0,2006,2006,0,2006,0,12104,1240,4,0,1,202577.9
1102,1976,Pave,8,3,885,Gtl,7,AllPub,2,1079,1044,8,1998,1998,1,1998,242,9660,897,3,791,1,177862.7789
1103,2234,Pave,8,3,768,Gtl,7,AllPub,2,1205,1160,6,2000,2000,1,2000,322,9545,1029,3,505,1,182056.0247
1104,2855,Pave,9,3,774,Gtl,9,AllPub,2,1540,1540,6,2000,2000,1,2000,877,9233,1315,4,1182,1,191403.1992
1105,2726,Pave,8,3,725,Gtl,9,AllPub,2,1358,1342,11,1995,1995,1,1995,397,10019,1368,4,527,1,196264.755
1106,3500,Pave,9,3,959,Gtl,11,AllPub,3,1933,1733,13,1993,1994,1,1993,738,17242,1567,4,292,1,209375.0034
1107,2494,Pave,8,3,803,Gtl,9,AllPub,2,,1290,12,1994,1995,1,1994,501,10236,1189,4,380,1,196691.8193
1108,2799,Pave,8,3,704,Gtl,8,AllPub,2,,1286,13,1993,1993,1,1993,420,12585,1234,3,247,1,192458.4315
1109,1964,Pave,8,2,760,Gtl,8,AllPub,2,1116,1100,1,2005,2006,1,2005,192,12447,848,3,0,1,182242.8093
1110,1670,Pave,8,3,928,Gtl,6,AllPub,2,1670,1670,0,2006,2006,1,2006,0,15218,0,2,1562,1,183259.5039
1111,1504,Pave,8,2,510,Gtl,7,AllPub,2,1504,1504,0,2006,2006,0,2006,60,10936,0,3,0,0,188108.2437
1112,1278,Pave,8,2,584,Gtl,5,AllPub,2,1278,1278,0,2006,2006,0,2006,0,8640,0,2,24,0,171418.6402
1113,2640,Pave,9,3,792,Gtl,11,AllPub,3,2036,2036,0,2006,2006,1,2006,0,13162,604,3,1836,1,194698.8822
1114,1716,Pave,6,2,615,Gtl,7,AllPub,2,858,858,1,2005,2005,0,2005,0,8125,858,3,0,1,174841.8401
1115,1142,Pave,6,0,0,Gtl,5,AllPub,1,1142,1142,1,2005,2005,0,1979,0,7733,0,3,24,1,172965.4765
1116,1400,Pave,7,2,612,Gtl,,AllPub,2,1400,1400,1,2005,2006,0,2005,118,11024,0,3,0,0,189386.3237
1117,1131,Pave,6,0,0,Gtl,,AllPub,1,1131,1131,1,2005,2006,0,1979,0,13072,0,3,0,1,185682.6183
1118,1686,Pave,7,2,462,Gtl,,AllPub,2,891,891,1,2005,2005,0,2005,172,7800,795,3,0,1,176412.0127
1119,1585,Pave,7,2,449,Gtl,,AllPub,2,831,784,1,2005,2005,0,2005,96,7632,754,3,0,1,174976.4897
1120,1837,Pave,6,2,688,Gtl,7,AllPub,2,941,941,9,1997,1998,0,1997,0,8304,896,3,0,1,180718.5817
1121,1731,Pave,6,2,462,Gtl,7,AllPub,2,844,836,14,1992,1993,0,1992,0,9370,887,3,758,1,186131.1882
1122,1398,Pave,6,2,542,Gtl,5,AllPub,2,1398,1398,16,1990,1991,0,1990,0,7175,0,2,904,0,165220.7864
1123,1217,Pave,6,2,484,Gtl,5,AllPub,2,1217,1217,15,1991,1991,0,1991,0,7175,0,2,278,0,164115.8938
1124,1320,Pave,6,2,472,Gtl,6,AllPub,2,636,636,12,1994,1994,0,1994,0,9019,684,3,274,1,182125.7291
1125,988,Pave,5,2,624,Gtl,6,AllPub,1,988,988,44,1962,1962,0,1977,51,9100,0,3,36,0,182285.1402
1126,1654,Pave,6,2,528,Gtl,10,AllPub,2,1286,0,29,1977,1977,0,1977,0,8927,368,4,0,0,196325.4422
1127,1211,Pave,5,2,576,Gtl,6,AllPub,1,1211,864,44,1962,2002,1,1972,0,9240,0,2,612,0,164865.2153
1128,984,Pave,5,1,310,Gtl,5,AllPub,1,984,984,41,1965,1965,0,1965,0,9308,0,3,554,0,182694.4922
1129,909,Pave,5,1,294,Gtl,5,AllPub,1,909,882,38,1968,1968,0,1968,90,8450,0,3,162,0,185425.4855
1130,925,Pave,5,2,484,Gtl,5,AllPub,1,925,925,43,1963,1963,0,1990,0,8638,0,2,181,0,171414.7041
1131,1024,Pave,5,1,308,Gtl,5,AllPub,1,1024,1024,41,1965,1965,0,1965,0,13052,0,3,712,1,183433.4725
1132,912,Pave,5,0,0,Gtl,6,AllPub,1,912,912,42,1964,1964,0,1979,0,8020,0,3,644,0,176844.9812
1133,941,Pave,5,1,288,Gtl,6,AllPub,1,941,912,39,1967,1967,1,1967,0,8789,0,3,659,0,180568.1878
1134,2646,Pave,7,2,550,Gtl,9,AllPub,2,2151,1748,32,1974,1974,4,1974,145,14330,495,3,1023,0,185948.6255
1135,2826,Pave,8,3,888,Mod,9,AllPub,2,1520,1334,14,1992,1993,3,1992,692,11025,1306,3,1118,1,189388.2917
1136,1143,Pave,7,2,588,Gtl,5,AllPub,1,1143,1143,2,2004,2004,1,2004,0,3628,0,1,0,1,142754.4892
1137,1223,Pave,7,2,480,Gtl,4,AllPub,2,520,600,1,2005,2005,0,2005,0,2544,623,2,0,1,156106.8008
1138,1524,Pave,6,2,440,Gtl,4,AllPub,2,768,756,6,2000,2000,0,2000,513,2998,756,2,353,1,155895.3976
1139,1080,Pave,7,2,496,Gtl,4,AllPub,2,530,530,3,2003,2003,0,2003,0,4447,550,2,0,1,159851.9777
1140,1694,Pave,7,1,434,Gtl,6,AllPub,2,854,569,9,1997,1998,1,1997,,8314,840,3,0,1,185157.8323
1141,1568,Pave,8,2,564,Gtl,6,AllPub,2,1568,1568,5,2001,2002,1,2001,0,7180,0,3,0,0,180716.2917
1142,1193,Pave,5,2,501,Gtl,6,AllPub,2,1193,1153,34,1972,1972,0,1972,144,13110,0,2,962,0,176901.094
1143,1334,Pave,7,2,477,Gtl,7,AllPub,2,1334,1334,39,1967,1967,0,1967,264,10140,0,3,553,0,181017.2225
1144,1051,Pave,5,2,504,Gtl,6,AllPub,1,1051,1051,38,1968,1968,0,1968,0,9600,0,3,758,0,183269.1594
1145,1770,Pave,5,2,530,Gtl,7,AllPub,1,884,900,38,1968,1968,0,1968,300,8640,886,4,361,1,193550.8301
1146,976,Pave,6,2,504,Gtl,4,AllPub,1,976,976,38,1968,2004,1,1968,203,9360,0,2,760,0,170625.8427
1147,898,Pave,5,1,326,Gtl,6,AllPub,1,,833,38,1968,1968,0,1968,0,8400,0,3,744,0,182012.4059
1148,1051,Pave,5,1,264,Gtl,6,AllPub,1,,1051,40,1966,1966,0,1966,0,9759,0,3,799,0,179162.5073
1149,1141,Pave,5,1,568,Gtl,6,AllPub,1,,1141,39,1967,1967,0,1967,140,9600,0,3,602,0,183269.1594
1150,1565,Pave,6,1,299,Gtl,7,AllPub,2,,1187,41,1965,2000,2,1965,0,8800,0,3,901,0,180589.8362
1151,1488,Pave,6,2,430,Gtl,7,AllPub,1,1488,1008,42,1964,1964,1,1964,112,10368,0,3,260,1,181465.9352
1152,1440,Pave,5,2,480,Gtl,7,AllPub,1,720,,42,1964,1964,1,1964,0,,720,4,360,1,196053.0299
1153,1248,Pave,5,1,286,Gtl,6,AllPub,1,1248,1248,46,1960,1960,0,1960,88,10800,0,3,632,0,183421.0203
1154,816,Pave,6,1,240,Gtl,4,AllPub,1,816,816,72,1934,1950,1,1949,0,8550,0,2,574,0,167926.8391
1155,1043,Pave,5,1,273,Gtl,5,AllPub,1,1043,938,59,1947,1950,1,1947,0,9724,0,2,0,0,168027.531
1156,1433,Pave,5,2,441,Gtl,7,AllPub,1,1433,1251,45,1961,1990,1,1961,0,9600,0,3,915,0,182164.2669
1157,1624,Pave,5,1,240,Gtl,6,AllPub,1,1624,1444,54,1952,1952,1,1952,150,10858,0,2,40,0,172469.0716
1158,1216,Pave,5,1,280,Gtl,7,AllPub,1,1216,1056,55,1951,1951,0,1951,144,9600,0,3,996,0,181059.3743
1159,1728,Pave,5,1,234,Gtl,7,AllPub,1,1024,704,57,1949,1973,1,1949,0,9462,704,3,0,1,182997.5701
1160,936,Pave,5,1,240,Gtl,5,AllPub,1,936,936,52,1954,1975,0,1954,0,9888,0,2,486,0,166140.5042
1161,1584,Pave,5,2,506,Gtl,8,AllPub,2,1584,1584,39,1967,1967,0,1967,0,8917,0,4,0,0,198515.5469
1162,1246,Pave,6,2,441,Gtl,6,AllPub,1,1246,1246,42,1964,1964,2,1964,0,12700,0,3,939,0,193789.6485
1163,1008,Pave,6,2,430,Gtl,5,AllPub,1,1008,1008,43,1963,1963,0,1963,332,9723,0,2,0,0,173550.0257
1164,1364,Pave,5,1,331,Gtl,6,AllPub,1,1364,1179,49,1957,1957,1,1957,0,8400,0,3,623,1,176487.9432
1165,1336,Pave,6,2,488,Gtl,7,AllPub,1,1336,1121,48,1958,1958,1,1958,632,9610,0,3,203,1,188813.3026
1166,1370,Pave,5,1,300,Gtl,6,AllPub,1,1370,1058,50,1956,1956,1,1956,272,10000,0,3,678,0,178531.912
1167,1124,Pave,6,1,353,Gtl,6,AllPub,1,1124,1124,50,1956,1994,1,1956,0,10152,0,3,914,0,182145.7315
1168,1050,Pave,6,1,286,Gtl,6,AllPub,1,1050,1050,52,1954,2000,0,1954,176,8092,0,3,824,0,179196.465
